Artist Name,Artist ID,Genres
Eminem,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'hip hop', 'rap']"
Nate Dogg,1Oa0bMld0A3u5OTYfMzp5h,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']"
Taylor Swift,06HL4z0CvFAxyc27GXpf02,['pop']
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']"
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,['pop']
Pitbull,0TnOYISbd1XYRBk9myaseg,"['dance pop', 'miami hip hop', 'pop']"
AFROJACK,4D75GcNG95ebPtNvoNVXhz,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']"
Ne-Yo,21E3waRsmPlU7jZsS13rcj,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
Nayer,1ruutHJcECI7cos2n5TqpO,['deep dance pop']
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"['dance pop', 'pop']"
The Score,2q3GG88dVwuQPF4FmySr9I,"['modern alternative rock', 'pov: indie']"
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,"['modern rock', 'pop', 'rock']"
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,"['hip pop', 'pop', 'queens hip hop', 'rap']"
Skrillex,5he5w2lnU9x7JFhnwcekXX,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']"
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']"
Tate McRae,45dkTj5sMRSjrmBSBeiHym,['pop']
Beyoncé,6vWDO969PvNqNYHIOW5v0m,"['pop', 'r&b']"
Ciara,2NdeV5rLm47xAvogXrYhJX,"['dance pop', 'hip pop', 'pop', 'r&b', 'urban contemporary']"
Cardi B,4kYSro6naA4h99UJvo89HB,"['pop', 'rap']"
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"['reggaeton', 'trap latino', 'urbano latino']"
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']"
Flo Rida,0jnsk9HBra6NMjO2oANoPY,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
Sia,5WUlDfRSoLAfcVSX1WnrxN,"['australian dance', 'australian pop', 'pop']"
Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,"['canadian latin', 'canadian pop', 'dance pop', 'pop']"
Timbaland,5Y5TRrQiqgUO4S36tzjIRZ,"['dance pop', 'pop', 'pop rap']"
